Locatii:14  -  Tranzitii:11
Timer  P1    P2    P3    P4    P5    P6    P7    P8    P9    P10    P11    P12    P13    P14  
  1     1     0     0     0     1     0     1     0     0     0     0     0     0     0  
  2     0     1     1     0     1     0     1     0     0     0     0     0     0     0  
  3     0     1     1     0     1     0     1     0     0     0     0     0     0     0  
  4     0     0     1     1     1     0     1     0     0     0     0     0     0     0  
  5     0     0     1     1     1     0     1     0     0     0     0     0     0     0  
  6     0     0     1     1     1     0     1     0     0     0     0     0     0     0  
  7     0     0     0     1     1     1     1     0     0     0     0     0     0     0  
  8     0     0     0     1     1     1     1     0     0     0     0     0     0     0  
  9     0     0     0     0     0     1     1     1     0     0     0     0     0     0  
  10     0     0     0     0     0     1     1     1     0     0     0     0     0     0  
  11     0     0     0     0     0     1     1     1     0     0     0     0     0     0  
  12     0     0     0     0     0     1     1     1     0     0     0     0     0     0  
  13     0     0     0     0     0     0     -1     0     1     1     0     0     0     0  
  14     0     0     0     0     1     0     0     0     1     0     0     1     0     0  
  15     0     0     0     0     1     0     0     0     1     0     0     1     0     0  
  16     0     0     0     0     1     0     0     0     1     0     0     1     0     0  
  17     0     0     0     0     1     0     0     0     1     0     0     1     0     0  
  18     0     0     0     0     0     0     0     0     0     0     1     1     0     0  
  19     0     0     0     0     1     0     1     0     0     0     0     1     1     0  
  20     0     0     0     0     1     0     1     0     0     0     0     0     0     1  
  21     0     0     0     0     1     0     1     0     0     0     0     0     0     0  
Nu a mai ramas nimic de executat!
